state,district,year,quarter,registered_users,app_opens
Andhra Pradesh,prakasam district,2018,1,189949,0
Andhra Pradesh,anantapur district,2018,1,241192,0
Andhra Pradesh,kurnool district,2018,1,240133,0
Andhra Pradesh,guntur district,2018,1,317065,0
Andhra Pradesh,krishna district,2018,1,323673,0
Andhra Pradesh,spsr nellore district,2018,1,194475,0
Andhra Pradesh,vizianagaram district,2018,1,128905,0
Andhra Pradesh,ysr district,2018,1,186800,0
Andhra Pradesh,west godavari district,2018,1,213335,0
Andhra Pradesh,chittoor district,2018,1,309541,0
Andhra Pradesh,east godavari district,2018,2,454398,0
Andhra Pradesh,srikakulam district,2018,2,186913,0
Andhra Pradesh,visakhapatnam district,2018,2,636052,0
Andhra Pradesh,prakasam district,2018,2,253458,0
Andhra Pradesh,anantapur district,2018,2,326383,0
Andhra Pradesh,kurnool district,2018,2,319313,0
Andhra Pradesh,guntur district,2018,2,420326,0
Andhra Pradesh,krishna district,2018,2,431965,0
Andhra Pradesh,spsr nellore district,2018,2,261049,0
Andhra Pradesh,vizianagaram district,2018,2,167327,0
Andhra Pradesh,ysr district,2018,2,248657,0
Andhra Pradesh,west godavari district,2018,2,282393,0
Andhra Pradesh,chittoor district,2018,2,414306,0
Andhra Pradesh,east godavari district,2018,3,558982,0
Andhra Pradesh,srikakulam district,2018,3,228456,0
Andhra Pradesh,visakhapatnam district,2018,3,769096,0
Andhra Pradesh,prakasam district,2018,3,314899,0
Andhra Pradesh,anantapur district,2018,3,405855,0
Andhra Pradesh,kurnool district,2018,3,394311,0
Andhra Pradesh,guntur district,2018,3,518931,0
Andhra Pradesh,krishna district,2018,3,537086,0
Andhra Pradesh,spsr nellore district,2018,3,322446,0
Andhra Pradesh,vizianagaram district,2018,3,203655,0
Andhra Pradesh,ysr district,2018,3,308391,0
Andhra Pradesh,west godavari district,2018,3,349782,0
Andhra Pradesh,chittoor district,2018,3,515727,0
Andhra Pradesh,east godavari district,2018,4,694455,0
Andhra Pradesh,srikakulam district,2018,4,284874,0
Andhra Pradesh,visakhapatnam district,2018,4,978288,0
Andhra Pradesh,prakasam district,2018,4,394962,0
Andhra Pradesh,anantapur district,2018,4,510892,0
Andhra Pradesh,kurnool district,2018,4,498582,0
Andhra Pradesh,guntur district,2018,4,659552,0
Andhra Pradesh,krishna district,2018,4,682479,0
Andhra Pradesh,spsr nellore district,2018,4,407495,0
Andhra Pradesh,vizianagaram district,2018,4,257824,0
Andhra Pradesh,ysr district,2018,4,387058,0
Andhra Pradesh,west godavari district,2018,4,435668,0
Andhra Pradesh,chittoor district,2018,4,665280,0
